description,category
promotion this month cleared,marketing
khana order kiya today this month this month today,food
Canva Pro this month this month today today,subscriptions
rapido today done today,transport
Notion team this month this month,subscriptions
training cleared cleared done done,education
Gaming recharge BGMI cleared this month,entertainment
hospital today done today,healthcare
Canva Pro this month today done cleared,subscriptions
Staff training program done,education
Zoho CRM subscription done,subscriptions
Bank charges cleared cleared today,misc
fuel for the office vehicle done this month,transport
Team outing Goa done,entertainment
gym fees for the month cleared done done today cleared done today,healthcare
Online certification done,education
tax this month cleared this month this month cleared this month,misc
Project milestone payment,salary
new tool trialled and kept today,subscriptions
Professional tax done cleared today,misc
padhai ke liye kharcha cleared,education
Educational software cleared today today,education
promotion cleared done,marketing
paid for skill upgrade training done done,education
cab for the late evening today cleared,transport
Flight ticket Bangalore today today cleared today today today,travel
Hotstar annual today this month,entertainment
bhojan ke liye paisa today done cleared,food
khane pe kharcha cleared done today,food
Apollo pharmacy today today this month this month cleared today,healthcare
annual maintenance of AC this month today done this month,utilities
security system monthly charge,utilities
cold coffee for two today this month today,food
software plan this month this month cleared done,subscriptions
ghar ka ration today cleared done,food
Blood test today done today,healthcare
bought books for office library this month today,education
vision correction glasses cleared this month,healthcare
Project milestone payment cleared cleared cleared,salary
Inventory restock this month this month done done done,raw_material
Mobile accessories,shopping
grabbed a bite near office done this month cleared today this month,food
shopping ki this month,shopping
wifi router plan renewed cleared today cleared done done,utilities
entertanment cleared today today,entertainment
Diagnostic lab test this month this month cleared,healthcare
